profile,mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio,S0bits,Scbits,n0,n1,tStar_ms,T0_ms,Tc_ms,gainT
SATELLITE,OVERLAP,1000,1.810000,1.595000,11.367500,12.000000,0.375000,32000,12000,3,1,-0.398298,451.280000,150.483405,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000,2.445000,2.660000,11.723500,8.000000,0.250000,32000,8000,3,1,-0.477448,451.280000,150.325105,true
SATELLITE,OVERFLOW_OVERLAP,1000,2.740000,2.650000,10.837500,8.000000,0.250000,32000,8000,3,1,-0.477305,451.280000,150.325390,true
SATELLITE,WITHOUT_OVERLAP,100000,1.616850,1.395950,10.989470,16.000000,0.500000,3200000,1600000,267,134,-0.478938,40178.000000,20164.301280,true
SATELLITE,OVERLAP,100000,1.878400,1.730200,12.518430,12.000000,0.375000,3200000,1200000,267,100,-0.476881,40178.000000,15048.360860,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,100000,2.537600,2.015100,10.788670,16.000000,0.500000,3200000,1600000,267,134,-0.477780,40178.000000,20164.455270,true
SATELLITE,OVERFLOW_OVERLAP,100000,2.860250,2.354600,13.898405,13.000000,0.406250,3200000,1300000,267,109,-0.477712,40178.000000,16402.521485,true
SATELLITE,WITHOUT_OVERLAP,1000000,1.851595,1.420650,14.382485,16.000000,0.500000,32000000,16000000,2667,1334,-0.477665,401330.000000,200743.272245,true
SATELLITE,OVERLAP,1000000,1.971940,1.473695,13.959740,12.000000,0.375000,32000000,12000000,2667,1000,-0.477837,401330.000000,150483.445635,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.623805,2.027920,14.352110,16.000000,0.500000,32000000,16000000,2667,1334,-0.476630,401330.000000,200744.651725,true
SATELLITE,OVERFLOW_OVERLAP,1000000,3.189885,2.260510,16.865695,13.000000,0.406250,32000000,13000000,2667,1084,-0.476658,401330.000000,163125.450395,true
